Experiment,Features,Num Features,Best Epoch,Val Accuracy,Val Precision,Val Recall,Val F1,Val TAR,Val FRR,Val TRR,Val FAR
A1_similarity,best_similarity,1,299,0.927734375,0.974304068522484,0.8800773694390716,0.9247967479674797,0.8800773694390716,0.11992263056092843,0.9763313609467456,0.023668639053254437
A2_similarity_margin,"best_similarity, margin",2,250,0.966796875,0.9820359281437125,0.9516441005802708,0.9666011787819253,0.9516441005802708,0.048355899419729204,0.9822485207100592,0.01775147928994083
A3_similarity_quality,"best_similarity, quality_score",2,290,0.9169921875,0.9886877828054299,0.8452611218568665,0.9113660062565172,0.8452611218568665,0.15473887814313347,0.9901380670611439,0.009861932938856016
A4_quality_margin,"quality_score, margin",2,263,0.916015625,0.9799554565701559,0.851063829787234,0.9109730848861284,0.851063829787234,0.14893617021276595,0.9822485207100592,0.01775147928994083
A5_full_model,"quality_score, best_similarity, margin",3,233,0.92578125,0.9867549668874173,0.8646034816247582,0.9216494845360824,0.8646034816247582,0.13539651837524178,0.9881656804733728,0.011834319526627219
